SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,PCT_CHANGE
NESTLEIND,EQ, 16-Sep-2026,1362.0,1369.2,1397.0,1368.7,1384.5,1384.5,1387.27,1631890,22638.7,93197,843495, 51.69,1.65
NHPC,EQ, 16-Sep-2026,76.04,76.0,76.73,75.26,75.41,75.41,75.65,9639495,7292.04,44368,4733197, 49.10,-0.83
NMDC,EQ, 16-Sep-2026,80.5,80.8,81.09,79.45,80.32,80.32,80.36,9502607,7636.54,43644,4717634, 49.65,-0.22
NTPC,EQ, 16-Sep-2026,329.5,329.5,329.95,326.55,327.0,327.0,328.31,6556304,21524.74,57157,4102135, 62.57,-0.76
NYKAA,EQ, 16-Sep-2026,336.2,336.2,338.3,323.55,325.6,325.6,327.3,4960142,16234.68,51942,2152900, 43.40,-3.15
OBEROIRLTY,EQ, 16-Sep-2026,1668.5,1660.0,1717.3,1660.0,1706.9,1706.9,1701.35,599621,10201.65,36529,367875, 61.35,2.3
OFSS,EQ, 16-Sep-2026,11803.0,11840.0,11920.0,11399.0,11510.0,11510.0,11604.73,245645,28506.43,37636,113996, 46.41,-2.48
OIL,EQ, 16-Sep-2026,485.6,485.5,489.5,481.4,487.6,487.6,486.12,1295800,6299.1,30814,704695, 54.38,0.41
ONGC,EQ, 16-Sep-2026,235.95,236.45,236.8,233.31,236.8,236.8,235.09,8748123,20565.94,69165,5184061, 59.26,0.36
PAGEIND,EQ, 16-Sep-2026,34580.0,34600.0,35035.0,34000.0,34275.0,34275.0,34295.25,33484,11483.42,11307,21569, 64.42,-0.88
PATANJALI,EQ, 16-Sep-2026,338.55,339.05,367.4,337.5,365.0,365.0,355.64,28837966,102558.69,172436,6991189, 24.24,7.81
PAYTM,EQ, 16-Sep-2026,1730.0,1830.0,1855.5,1731.1,1790.0,1790.0,1779.63,15413025,274295.13,295441,5141339, 33.36,3.47
PERSISTENT,EQ, 16-Sep-2026,5477.5,5522.0,5529.5,5390.5,5440.0,5440.0,5438.32,412053,22408.74,30246,212138, 51.48,-0.68
PETRONET,EQ, 16-Sep-2026,283.95,281.6,284.95,278.25,282.1,282.1,282.54,692663,1957.07,28509,444300, 64.14,-0.65
PFC,EQ, 16-Sep-2026,344.0,344.0,349.1,343.65,346.0,346.0,347.15,6079360,21104.47,47284,3755830, 61.78,0.58
PGEL,EQ, 16-Sep-2026,518.0,515.25,527.0,513.0,523.85,523.85,521.87,768516,4010.66,17867,237564, 30.91,1.13
PHOENIXLTD,EQ, 16-Sep-2026,1833.6,1833.6,1864.1,1820.2,1855.0,1855.0,1848.92,473466,8754.0,26388,296344, 62.59,1.17
PIDILITIND,EQ, 16-Sep-2026,1521.1,1521.2,1546.9,1521.2,1543.8,1543.8,1540.15,573360,8830.63,41321,361377, 63.03,1.49
PIIND,EQ, 16-Sep-2026,2255.0,2255.0,2287.2,2227.2,2256.0,2256.0,2260.7,160599,3630.66,15803,79108, 49.26,0.04
PNB,EQ, 16-Sep-2026,114.7,114.73,117.48,114.63,116.8,116.8,116.55,18494065,21555.39,64723,9133277, 49.38,1.83
PNBHOUSING,EQ, 16-Sep-2026,1145.0,1143.4,1152.3,1126.9,1134.0,1134.0,1137.74,988137,11242.46,76748,536263, 54.27,-0.96
POLICYBZR,EQ, 16-Sep-2026,1736.0,1739.9,1847.0,1710.1,1827.1,1827.1,1794.93,2054206,36871.52,94699,761651, 37.08,5.25
POLYCAB,EQ, 16-Sep-2026,8143.5,8129.5,8244.0,8072.0,8121.5,8121.5,8164.02,246715,20141.87,38586,108684, 44.05,-0.27
POWERGRID,EQ, 16-Sep-2026,262.8,264.1,266.35,262.8,262.8,262.8,264.46,7132902,18863.52,91741,4230608, 59.31,0.0
POWERINDIA,EQ, 16-Sep-2026,30790.0,30300.0,30400.0,29645.0,30200.0,30200.0,30066.2,93574,28134.15,35500,38886, 41.56,-1.92
PREMIERENE,EQ, 16-Sep-2026,945.0,940.4,944.2,888.1,899.0,899.0,901.23,3795481,34206.15,91292,1548412, 40.80,-4.87
PRESTIGE,EQ, 16-Sep-2026,1417.0,1418.9,1442.0,1409.1,1424.0,1424.0,1431.18,498204,7130.2,35315,213963, 42.95,0.49
RADICO,EQ, 16-Sep-2026,4360.0,4338.7,4466.0,4321.6,4466.0,4466.0,4405.38,278614,12274.01,29547,179549, 64.44,2.43
RBLBANK,EQ, 16-Sep-2026,403.6,404.8,406.7,395.95,404.0,404.0,401.19,2607366,10460.42,29060,1270107, 48.71,0.1
RECLTD,EQ, 16-Sep-2026,308.5,308.7,315.5,308.7,312.65,312.65,313.2,4651938,14570.06,36902,2864194, 61.57,1.35
RELIANCE,EQ, 16-Sep-2026,1235.3,1243.0,1255.0,1240.0,1240.0,1240.0,1249.68,10023997,125268.26,186504,6124329, 61.10,0.38
